hmm,param,layer,seed,R2,target
Mess3,"a=0.005, x=0.01",0,3,0.9556244507777316,real
Mess3,"a=0.005, x=0.01",1,3,0.9788544483835142,real
Mess3,"a=0.005, x=0.01",2,3,0.9835235283779952,real
Mess3,"a=0.005, x=0.01",3,3,0.9851317069518968,real
Mess3,"a=0.005, x=0.01",4,3,0.9866482596596656,real
Mess3,"a=0.005, x=0.01",5,3,0.987312408523064,real
Mess3,"a=0.005, x=0.01",6,3,0.9866544318089548,real
Mess3,"a=0.005, x=0.01",7,3,0.9821893829281728,real
Mess3,"a=0.005, x=0.01",8,3,0.9784150560783758,real
Mess3,"a=0.005, x=0.01",9,3,0.9745865556777424,real
Mess3,"a=0.005, x=0.01",10,3,0.9734150596849008,real
Mess3,"a=0.005, x=0.01",11,3,0.9730511339198642,real
Mess3,"a=0.005, x=0.01",12,3,0.9760618273572867,real
Mess3,"a=0.005, x=0.01",13,3,0.9768220893126086,real
Mess3,"a=0.005, x=0.01",14,3,0.9790911056699524,real
Mess3,"a=0.005, x=0.01",15,3,0.9808503751095352,real
Mess3,"a=0.005, x=0.01",16,3,0.9812555054251412,real
Mess3,"a=0.005, x=0.01",17,3,0.9810070641395778,real
Mess3,"a=0.005, x=0.01",18,3,0.9812836975039342,real
Mess3,"a=0.005, x=0.01",19,3,0.9817114040233572,real
Mess3,"a=0.005, x=0.01",20,3,0.9818406544807676,real
Mess3,"a=0.005, x=0.01",21,3,0.9827601010527756,real
Mess3,"a=0.005, x=0.01",22,3,0.9832374069542256,real
Mess3,"a=0.005, x=0.01",23,3,0.9833614037992372,real
Mess3,"a=0.005, x=0.01",24,3,0.9834430513439356,real
Mess3,"a=0.005, x=0.01",25,3,0.9836741136861245,real
Mess3,"a=0.005, x=0.01",26,3,0.9842962135246344,real
Mess3,"a=0.005, x=0.01",27,3,0.9844547170876752,real
Mess3,"a=0.005, x=0.01",0,4,0.9504000392649592,real
Mess3,"a=0.005, x=0.01",1,4,0.9787063932275682,real
Mess3,"a=0.005, x=0.01",2,4,0.9835142320856664,real
Mess3,"a=0.005, x=0.01",3,4,0.9847662312372286,real
Mess3,"a=0.005, x=0.01",4,4,0.9863164502634536,real
Mess3,"a=0.005, x=0.01",5,4,0.9851473641811246,real
Mess3,"a=0.005, x=0.01",6,4,0.983400925482384,real
Mess3,"a=0.005, x=0.01",7,4,0.9803591105780328,real
Mess3,"a=0.005, x=0.01",8,4,0.9752366752728364,real
Mess3,"a=0.005, x=0.01",9,4,0.9732050066885506,real
Mess3,"a=0.005, x=0.01",10,4,0.9692549081975216,real
Mess3,"a=0.005, x=0.01",11,4,0.9710735584269008,real
Mess3,"a=0.005, x=0.01",12,4,0.9724835706395608,real
Mess3,"a=0.005, x=0.01",13,4,0.9736174226702324,real
Mess3,"a=0.005, x=0.01",14,4,0.9729512717044088,real
Mess3,"a=0.005, x=0.01",15,4,0.9738794834093516,real
Mess3,"a=0.005, x=0.01",16,4,0.9746017507400152,real
Mess3,"a=0.005, x=0.01",17,4,0.97478073344739,real
Mess3,"a=0.005, x=0.01",18,4,0.975084793318405,real
Mess3,"a=0.005, x=0.01",19,4,0.9754339574979976,real
Mess3,"a=0.005, x=0.01",20,4,0.9761784721257604,real
Mess3,"a=0.005, x=0.01",21,4,0.9771767427622988,real
Mess3,"a=0.005, x=0.01",22,4,0.977548304645986,real
Mess3,"a=0.005, x=0.01",23,4,0.9779656792066812,real
Mess3,"a=0.005, x=0.01",24,4,0.9783084664531202,real
Mess3,"a=0.005, x=0.01",25,4,0.9794039582308194,real
Mess3,"a=0.005, x=0.01",26,4,0.9792828272292116,real
Mess3,"a=0.005, x=0.01",27,4,0.9796307509554112,real
Mess3,"a=0.005, x=0.01",0,5,0.9552502963461272,real
Mess3,"a=0.005, x=0.01",1,5,0.9796033601871278,real
Mess3,"a=0.005, x=0.01",2,5,0.9862612471906768,real
